date,usd_index,usdhkd
2024-10-21,103.9866,7.774
2024-10-22,104.0766,7.7726
2024-10-23,104.424,7.7691
2024-10-24,104.0255,7.7705
2024-10-25,104.3153,7.7705
2024-10-28,104.3122,7.7724
2024-10-29,104.2648,7.771
2024-10-30,104.1215,7.7726
2024-10-31,103.8939,7.7738
2024-11-01,104.3228,7.7773
2024-11-04,103.8971,7.7724
2024-11-05,103.4097,7.7719
2024-11-06,105.1548,7.7765
2024-11-07,104.3389,7.7705
2024-11-08,104.9521,7.775
2024-11-11,105.5069,7.7767
2024-11-12,105.9343,7.7781
2024-11-13,106.4839,7.7808
2024-11-14,106.8682,7.7818
2024-11-15,106.6842,7.7852
2024-11-18,106.2149,7.7841
2024-11-19,106.1765,7.783
2024-11-20,106.6475,7.7834
2024-11-21,107.0631,7.7829
2024-11-22,107.4911,7.7846
2024-11-25,106.8942,7.7823
2024-11-26,106.8843,7.7832
2024-11-27,106.056,7.7814
2024-11-28,106.1693,7.7839
2024-11-29,105.7761,7.7815
2024-12-02,106.4026,7.7815
2024-12-03,106.3397,7.7827
2024-12-04,106.3665,7.7844
2024-12-05,105.7222,7.7818
2024-12-06,105.9702,7.7792
2024-12-09,106.1571,7.774
2024-12-10,106.411,7.774
2024-12-11,106.6559,7.7745
2024-12-12,107.017,7.7742
2024-12-13,106.9428,7.7756
2024-12-16,106.8616,7.7742
2024-12-17,106.9473,7.7693
2024-12-18,108.2621,7.7703
2024-12-19,108.4157,7.7698
2024-12-20,107.8408,7.7743
2024-12-23,108.0825,7.7701
2024-12-24,108.1118,7.7663
2024-12-25,108.0975,7.8036
2024-12-26,108.0949,7.7688
2024-12-27,108.0151,7.7602
2024-12-30,108.0351,7.7666
2024-12-31,108.4816,7.7678
2025-01-02,109.2411,7.7768
2025-01-03,108.9212,7.779
2025-01-06,108.2413,7.7752
2025-01-07,108.7038,7.7776
2025-01-08,108.9959,7.7796
2025-01-09,109.1766,7.7827
2025-01-10,109.6567,7.7869
2025-01-13,109.6208,7.7857
2025-01-14,109.1825,7.7869
2025-01-15,109.1073,7.7868
2025-01-16,108.9414,7.7873
2025-01-17,109.3792,7.7861
2025-01-20,108.0744,7.78
2025-01-21,107.9696,7.785
2025-01-22,108.2525,7.7885
2025-01-23,108.1472,7.7893
2025-01-24,107.4804,7.7867
2025-01-27,107.3327,7.7882
2025-01-28,107.901,7.7899
2025-01-29,107.9555,7.7921
2025-01-30,108.1505,7.7915
2025-01-31,108.516,7.7967
2025-02-03,108.4274,7.7927
2025-02-04,107.9984,7.7871
2025-02-05,107.6188,7.7864
2025-02-06,107.7047,7.7866
2025-02-07,108.1001,7.7903
2025-02-10,108.332,7.7888
2025-02-11,107.9248,7.7919
2025-02-12,108.01,7.7899
2025-02-13,107.0559,7.7881
2025-02-14,106.8037,7.7829
2025-02-17,106.7296,7.7808
2025-02-18,107.0553,7.7748
2025-02-19,107.1981,7.7779
2025-02-20,106.3538,7.7761
2025-02-21,106.6501,7.7698
2025-02-24,106.6701,7.7749
2025-02-25,106.2821,7.7738
2025-02-26,106.4987,7.7742
2025-02-27,107.2866,7.7775
2025-02-28,107.5644,7.7784
2025-03-03,106.5345,7.7773
2025-03-04,105.5372,7.7713
2025-03-05,104.3218,7.771
2025-03-06,104.2055,7.7718
2025-03-07,103.8945,7.7703
2025-03-10,103.925,7.7684
2025-03-11,103.3855,7.7706
2025-03-12,103.5872,7.7696
2025-03-13,103.8363,7.7724
2025-03-14,103.7363,7.7726
2025-03-17,103.3986,7.7701
2025-03-18,103.2537,7.7695
2025-03-19,103.4629,7.7709
2025-03-20,103.817,7.7726
2025-03-21,104.154,7.7731
2025-03-24,104.3068,7.7742
2025-03-25,104.2099,7.7748
2025-03-26,104.5586,7.7761
2025-03-27,104.2597,7.7756
2025-03-28,104.0336,7.7782
2025-03-31,104.1921,7.7804
2025-04-01,104.2263,7.7815
2025-04-02,103.6608,7.783
2025-04-03,101.9451,7.7778
2025-04-04,102.9189,7.7747
2025-04-07,103.501,7.7682
2025-04-08,102.956,7.7709
2025-04-09,102.971,7.7612
2025-04-10,100.9374,7.7588
2025-04-11,99.769,7.7557
2025-04-14,99.692,7.7559
2025-04-15,100.167,7.7579
2025-04-16,99.2667,7.7624
2025-04-17,99.424,7.7637
2025-04-18,99.2286,7.7621
2025-04-21,98.3518,7.7593
2025-04-22,98.9757,7.7582
2025-04-23,99.9096,7.7604
2025-04-24,99.288,7.7589
2025-04-25,99.5836,7.7571
2025-04-28,98.9357,7.7568
2025-04-29,99.21,7.7585
2025-04-30,99.6403,7.7553
2025-05-01,100.1866,7.7553
2025-05-02,100.0424,7.7553
2025-05-05,99.7911,7.7553
2025-05-06,99.2654,7.753
2025-05-07,99.9006,7.7616
2025-05-08,100.6325,7.7739
2025-05-09,100.4218,7.7784
2025-05-12,101.814,7.7912
2025-05-13,100.9827,7.7971
2025-05-14,101.0655,7.8074
2025-05-15,100.8196,7.8057
2025-05-16,100.9828,7.8144
2025-05-19,100.3726,7.8214
2025-05-20,100.0219,7.8268
2025-05-21,99.6014,7.8322
2025-05-22,99.9388,7.8268
2025-05-23,99.1231,7.8327
2025-05-26,98.9787,7.8361
2025-05-27,99.6147,7.839
2025-05-28,99.8978,7.8387
2025-05-29,99.3633,7.8421
2025-05-30,99.4393,7.8406
2025-06-02,98.6893,7.8406
2025-06-03,99.2781,7.8451
2025-06-04,98.8128,7.8465
2025-06-05,98.7444,7.8462
2025-06-06,99.2031,7.847
2025-06-09,99.0187,7.8474
2025-06-10,99.0522,7.8482
2025-06-11,98.6454,7.8495
2025-06-12,97.8655,7.8493
2025-06-13,98.145,7.8495
2025-06-16,98.1548,7.8497
2025-06-17,98.8304,7.8497
2025-06-18,98.8911,7.85
2025-06-19,98.7773,7.8501
2025-06-20,98.7639,7.8498
2025-06-23,98.3801,7.85
2025-06-24,97.9681,7.85
2025-06-25,97.6977,7.8502
2025-06-26,97.2985,7.8497
2025-06-27,97.2612,7.8501
2025-06-30,96.7723,7.8502
2025-07-01,96.6451,7.85
2025-07-02,96.7788,7.8502
2025-07-03,97.1185,7.8501
2025-07-04,96.988,7.8499
2025-07-07,97.5537,7.8498
2025-07-08,97.4921,7.8502
2025-07-09,97.4931,7.8504
2025-07-10,97.5904,7.8502
2025-07-11,97.8731,7.8499
2025-07-14,98.1082,7.8502
2025-07-15,98.6306,7.85
2025-07-16,98.2859,7.8499
2025-07-17,98.6419,7.849
2025-07-18,98.46,7.8483
2025-07-21,97.8342,7.8501
2025-07-22,97.355,7.8498
2025-07-23,97.2048,7.85
2025-07-24,97.4884,7.85
2025-07-25,97.6701,7.8496
2025-07-28,98.6694,7.8498
2025-07-29,98.9234,7.8499
2025-07-30,99.9684,7.8502
2025-07-31,100.0489,7.85
2025-08-01,98.69,7.8497
2025-08-04,98.7427,7.8502
2025-08-05,98.7559,7.8497
2025-08-06,98.223,7.8499
2025-08-07,98.0872,7.8502
2025-08-08,98.267,7.8498
2025-08-11,98.5013,7.8503
2025-08-12,98.0707,7.8502
2025-08-13,97.7884,7.85
2025-08-14,98.2041,7.8332
2025-08-15,97.8467,7.8261
2025-08-18,98.1535,7.8204
2025-08-19,98.279,7.7991
2025-08-20,98.2406,7.8124
2025-08-21,98.6526,7.8139
2025-08-22,97.7244,7.8143
2025-08-25,98.4262,7.8121
2025-08-26,98.2375,7.7934
2025-08-27,98.1926,7.786
2025-08-28,97.8679,7.7938
2025-08-29,97.8477,7.7957
2025-09-01,97.6793,7.7969
2025-09-02,98.3147,7.8065
2025-09-03,98.1485,7.8004
2025-09-04,98.2748,7.8009
2025-09-05,97.7357,7.797
2025-09-08,97.4478,7.7933
2025-09-09,97.7669,7.7889
2025-09-10,97.8433,7.7893
2025-09-11,97.5299,7.7891
2025-09-12,97.6178,7.7805
2025-09-15,97.3586,7.7797
2025-09-16,96.6434,7.7801
2025-09-17,97.0351,7.7783
2025-09-18,97.3696,7.7777
2025-09-19,97.6519,7.7746
2025-09-22,97.311,7.77
2025-09-23,97.2351,7.7758
2025-09-24,97.8657,7.7786
2025-09-25,98.4621,7.7832
2025-09-26,98.1926,7.7798
2025-09-29,97.9325,7.7839
2025-09-30,97.8224,7.7826
2025-10-01,97.7412,7.7818
2025-10-02,97.8916,7.7827
2025-10-03,97.7229,7.7816
2025-10-06,98.1041,7.783
2025-10-07,98.5859,7.7831
2025-10-08,98.849,7.7825
2025-10-09,99.4044,7.7816
2025-10-10,98.8223,7.7826
2025-10-13,99.2595,7.7805
2025-10-14,99.0453,7.7741
2025-10-15,98.6659,7.7746
2025-10-16,98.3526,7.7707
2025-10-17,98.5556,7.7668
2025-10-20,98.6219,7.7678
2025-10-21,98.9712,7.772
2025-10-22,98.9071,7.7721
2025-10-23,98.9334,7.7719
2025-10-24,98.9417,7.7699
2025-10-27,98.8207,7.7677
2025-10-28,98.7215,7.7693
2025-10-29,99.1495,7.771
2025-10-30,99.5456,7.7698
2025-10-31,99.7308,7.7703
2025-11-03,99.8762,7.7727
2025-11-04,100.2092,7.7746
2025-11-05,100.1593,7.7747
2025-11-06,99.6968,7.7754
2025-11-07,99.5477,7.7772
2025-11-10,99.6167,7.7737
2025-11-11,99.4792,7.7726
2025-11-12,99.4771,7.7715
2025-11-13,99.176,7.7712
2025-11-14,99.2845,7.7728
2025-11-17,99.5317,7.7745
2025-11-18,99.5932,7.7848
2025-11-19,100.1249,7.7906
2025-11-20,100.2193,7.784
2025-11-21,100.1527,7.7836
2025-11-24,100.2026,7.7813
2025-11-25,99.8123,7.7754
2025-11-26,99.5885,7.7786
2025-11-27,99.5527,7.7795
2025-11-28,99.4391,7.7861
2025-12-01,99.4081,7.7887
2025-12-02,99.3208,7.7843
2025-12-03,98.8659,7.7838
2025-12-04,99.0602,7.7827
2025-12-05,98.983,7.7845
2025-12-08,99.1026,7.7808
2025-12-09,99.2407,7.7823
2025-12-10,98.6403,7.7806
2025-12-11,98.3448,7.7817
2025-12-12,98.4012,7.7844
2025-12-15,98.2797,7.782
2025-12-16,98.2199,7.7811
2025-12-17,98.3983,7.7809
2025-12-18,98.4401,7.7814
2025-12-19,98.7125,7.7806
2025-12-22,98.2603,7.7808
2025-12-23,97.9093,7.7772
2025-12-24,97.9535,7.7752
2025-12-25,97.9079,7.7754
2025-12-26,98.0341,7.7713
2025-12-29,97.9975,7.7739
2025-12-30,98.2181,7.7806
2025-12-31,98.2696,7.7825
2026-01-02,98.4594,7.7914
2026-01-05,98.3291,7.7854
2026-01-06,98.5997,7.789
2026-01-07,98.7426,7.7869
2026-01-08,98.864,7.7919
2026-01-09,99.1368,7.7947
2026-01-12,98.8943,7.7965
2026-01-13,99.1842,7.8006
2026-01-14,99.0753,7.7979
2026-01-15,99.3424,7.7973
2026-01-16,99.3691,7.7967
2026-01-19,99.0423,7.7968
2026-01-20,98.5413,7.7992
2026-01-21,98.7693,7.7975
2026-01-22,98.2778,7.7968
2026-01-23,97.5053,7.7971
2026-01-26,97.0506,7.7975
2026-01-27,95.7725,7.7994
2026-01-28,96.352,7.8018
2026-01-29,96.1643,7.8052
2026-01-30,97.1152,7.8128
2026-02-02,97.6129,7.811
2026-02-03,97.3872,7.8133
2026-02-04,97.6518,7.8124
2026-02-05,97.9585,7.8143
2026-02-06,97.6102,7.8137
2026-02-09,96.8526,7.8149
2026-02-10,96.865,7.8183
2026-02-11,96.9194,7.8178
2026-02-12,96.9065,7.8163
2026-02-13,96.8592,7.8163
2026-02-16,97.089,7.8155
2026-02-17,97.1222,7.8153
2026-02-18,97.74,7.8143
2026-02-19,97.8455,7.8145
2026-02-20,97.7438,7.8152
2026-02-23,97.7425,7.8196
2026-02-24,97.8931,7.8234
2026-02-25,97.6594,7.8204
2026-02-26,97.7846,7.8234
2026-02-27,97.6443,7.823
2026-03-02,98.5491,7.822
2026-03-03,99.0623,7.8048
2026-03-04,98.7968,7.8177
2026-03-05,99.0434,7.8194
2026-03-06,98.9558,7.823
2026-03-09,98.7148,7.8212
2026-03-10,98.9435,7.824
2026-03-11,99.2622,7.8254
2026-03-12,99.7398,7.8266
2026-03-13,100.504,7.8268
2026-03-16,99.8018,7.8304
2026-03-17,99.5567,7.8363
2026-03-18,100.2981,7.8389
2026-03-19,99.1847,7.8338
2026-03-20,99.51,7.8328
2026-03-23,99.1597,7.8342
2026-03-24,99.2283,7.8268
2026-03-25,99.6329,7.8183
2026-03-26,99.9172,7.8263
2026-03-27,100.1745,7.832
2026-03-30,100.5054,7.8361
2026-03-31,99.8817,7.8398
2026-04-01,99.5539,7.8378
2026-04-02,100.01,7.8379
2026-04-03,100.1943,7.8363
2026-04-06,99.9891,7.8374
2026-04-07,99.6534,7.8364
2026-04-08,99.028,7.8324
2026-04-09,98.8157,7.8344
2026-04-10,98.6997,7.8309
2026-04-13,98.4094,7.8305
2026-04-14,98.0995,7.8333
2026-04-15,98.0792,7.834
2026-04-16,98.2035,7.8246
2026-04-17,98.2289,7.8316
2026-04-20,98.0541,7.8307
2026-04-21,98.3767,7.8304
2026-04-22,98.6059,7.8333
2026-04-23,98.8279,7.8325
2026-04-24,98.5267,7.8355
2026-04-27,98.49,7.8372
2026-04-28,98.6293,7.836
2026-04-29,98.9532,7.8372
2026-04-30,98.0997,7.8323
2026-05-01,98.2092,7.8323
2026-05-04,98.4633,7.8323
2026-05-05,98.4954,7.8323
2026-05-06,98.0266,7.8355
2026-05-07,98.2807,7.8331
2026-05-08,97.8485,7.829
2026-05-11,97.9413,7.8284
2026-05-12,98.2839,7.8287
2026-05-13,98.478,7.83
2026-05-14,98.882,7.8327
2026-05-15,99.2668,7.8298
2026-05-18,98.9803,7.8307
2026-05-19,99.3112,7.8333
2026-05-20,99.1296,7.8334
2026-05-21,99.2046,7.8339
2026-05-22,99.3351,7.8359
2026-05-25,98.9756,7.8345
2026-05-26,99.1464,7.8361
2026-05-27,99.2285,7.8345
2026-05-28,99.0065,7.8338
2026-05-29,98.9259,7.8369
2026-06-01,99.1891,7.8378
2026-06-02,99.2158,7.837
2026-06-03,99.4733,7.837
2026-06-04,99.4268,7.8345
2026-06-05,100.0786,7.8334
2026-06-08,100.0149,7.8371
2026-06-09,99.997,7.8375
2026-06-10,100.0435,7.8368
2026-06-11,99.6932,7.8364
2026-06-12,99.8037,7.8356
2026-06-15,99.6638,7.8347
2026-06-16,99.5171,7.8337
2026-06-17,100.383,7.8356
2026-06-18,100.8325,7.8373
2026-06-19,100.7528,7.8368
2026-06-22,101.0039,7.8399
2026-06-23,101.374,7.8408
2026-06-24,101.5745,7.8403
2026-06-25,101.4559,7.8404
2026-06-26,101.3565,7.8418
2026-06-29,101.1027,7.8407
2026-06-30,101.1861,7.843
2026-07-01,101.414,7.8438
2026-07-02,100.8652,7.8426
2026-07-03,100.8749,7.8431
2026-07-06,100.8721,7.8431
2026-07-07,101.092,7.8417
2026-07-08,101.0705,7.8393
2026-07-09,100.9352,7.8358
2026-07-10,100.9609,7.8394
2026-07-13,101.305,7.8377
2026-07-14,100.9271,7.8379
2026-07-15,100.5123,7.839
2026-07-16,100.7174,7.84
2026-07-17,100.7617,7.8401
2026-07-20,100.9681,7.8407
2026-07-21,101.2074,7.8419
2026-07-22,101.1182,7.841
2026-07-23,101.4469,7.8412
2026-07-24,101.4647,7.8421
2026-07-27,101.5292,7.8421
2026-07-28,101.4203,7.8408
2026-07-29,100.8219,7.8424
2026-07-30,99.981,7.8431
2026-07-31,99.7849,7.8421
2026-08-03,99.9646,7.8421
2026-08-04,99.8592,7.8426
2026-08-05,99.6902,7.8441
2026-08-06,99.9432,7.8447
2026-08-07,99.5996,7.8449
2026-08-10,99.8114,7.8454
2026-08-11,99.8112,7.8468
2026-08-12,99.9721,7.8472
2026-08-13,99.9576,7.8469
2026-08-14,99.6391,7.8471
2026-08-17,99.5802,7.8444
2026-08-18,99.6522,7.8441
2026-08-19,98.7955,7.841
2026-08-20,98.8687,7.8432
2026-08-21,98.8461,7.84
2026-08-24,98.9915,7.8364
2026-08-25,98.9059,7.838
2026-08-26,99.1394,7.839
2026-08-27,99.1337,7.839
2026-08-28,99.6831,7.84
