indicator_key,indicator,date,value,source
fai_manufacturing,固投/制造业,2025-11-01,1.9,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2025-12-01,0.6,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2026-02-01,3.1,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2026-03-01,4.1,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2026-04-01,1.2,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2026-05-01,-0.4,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2026-06-01,-1.2,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_real_estate,固投/房地产,2025-02-01,-9.47,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2025-03-01,-10.31,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2025-04-01,-11.53,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2025-05-01,-12.37,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2025-06-01,-12.38,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2025-07-01,-17.09,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2025-08-01,-19.95,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2025-09-01,-21.29,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2025-10-01,-23.22,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2025-11-01,-31.36,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2025-12-01,-36.85,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2026-02-01,-10.33,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2026-03-01,-11.72,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2026-04-01,-20.14,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2026-05-01,-24.91,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2026-06-01,-25.96,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
gdp,GDP,2024-12-01,5.0,AkShare macro_china_gdp; local cached series
gdp,GDP,2025-03-01,5.4,AkShare macro_china_gdp; local cached series
gdp,GDP,2025-06-01,5.3,AkShare macro_china_gdp; local cached series
gdp,GDP,2025-09-01,5.2,AkShare macro_china_gdp; local cached series
gdp,GDP,2025-12-01,5.0,AkShare macro_china_gdp; local cached series
gdp,GDP,2026-03-01,5.0,AkShare macro_china_gdp; local cached series
import,进口,2025-12-01,5.7,AkShare macro_china_hgjck; local cached series
import,进口,2026-01-01,26.3,AkShare macro_china_hgjck; local cached series
import,进口,2026-02-01,14.2,AkShare macro_china_hgjck; local cached series
import,进口,2026-03-01,28.3,AkShare macro_china_hgjck; local cached series
import,进口,2026-04-01,25.2,AkShare macro_china_hgjck; local cached series
import,进口,2026-05-01,27.4,AkShare macro_china_hgjck; local cached series
industrial,工增,2025-10-01,4.9,AkShare macro_china_gyzjz; local cached series
industrial,工增,2025-11-01,4.8,AkShare macro_china_gyzjz; local cached series
industrial,工增,2025-12-01,5.2,AkShare macro_china_gyzjz; local cached series
industrial,工增,2026-03-01,5.7,AkShare macro_china_gyzjz; local cached series
industrial,工增,2026-04-01,4.1,AkShare macro_china_gyzjz; local cached series
industrial,工增,2026-05-01,4.5,AkShare macro_china_gyzjz; local cached series
m1,M1,2025-12-01,3.8,AkShare macro_china_money_supply; local cached series
m1,M1,2026-01-01,4.9,AkShare macro_china_money_supply; local cached series
m1,M1,2026-02-01,5.9,AkShare macro_china_money_supply; local cached series
m1,M1,2026-03-01,5.1,AkShare macro_china_money_supply; local cached series
m1,M1,2026-04-01,5.0,AkShare macro_china_money_supply; local cached series
m1,M1,2026-05-01,5.5,AkShare macro_china_money_supply; local cached series
ppi,PPI,2025-12-01,-1.9,AkShare macro_china_ppi; local cached series
ppi,PPI,2026-01-01,-1.4,AkShare macro_china_ppi; local cached series
ppi,PPI,2026-02-01,-0.9,AkShare macro_china_ppi; local cached series
ppi,PPI,2026-03-01,0.5,AkShare macro_china_ppi; local cached series
ppi,PPI,2026-04-01,2.8,AkShare macro_china_ppi; local cached series
ppi,PPI,2026-05-01,3.9,AkShare macro_china_ppi; local cached series
retail,社零,2025-10-01,2.9,AkShare macro_china_consumer_goods_retail; local cached series
retail,社零,2025-11-01,1.3,AkShare macro_china_consumer_goods_retail; local cached series
retail,社零,2025-12-01,0.9,AkShare macro_china_consumer_goods_retail; local cached series
retail,社零,2026-03-01,1.7,AkShare macro_china_consumer_goods_retail; local cached series
retail,社零,2026-04-01,0.2,AkShare macro_china_consumer_goods_retail; local cached series
retail,社零,2026-05-01,-0.6,AkShare macro_china_consumer_goods_retail; local cached series
service,服务业,2024-03-01,5.0,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2024-04-01,3.5,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2024-05-01,4.8,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2024-06-01,4.7,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2024-07-01,4.8,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2024-08-01,4.6,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2024-09-01,5.1,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2024-10-01,6.3,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2024-11-01,6.1,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2024-12-01,6.5,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-03-01,6.3,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-04-01,6.0,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-05-01,6.2,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-06-01,6.0,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-07-01,5.8,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-08-01,5.6,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-09-01,5.6,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-10-01,4.6,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-11-01,4.2,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-12-01,5.0,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2026-03-01,5.0,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2026-04-01,4.3,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2026-05-01,4.4,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2026-06-01,4.7,国家统计局 中国:服务业生产指数:当月同比 via Wind API
